S No.,Title,Decisions,Words,parsed_decisions,parse_issue,invalid_labels,num_invalid_labels,title_norm,decisions_norm,num_aspects,label_signature,title_key
3960,Empee Distilleries reports Q3 net loss at Rs 2.47 crore,"{""Empee Distilleries"": ""neutral""}",10,{'Empee Distilleries': 'neutral'},,[],0,Empee Distilleries reports Q3 net loss at Rs 2.47 crore,{'Empee Distilleries': 'neutral'},1,neutral,empee distilleries reports q3 net loss at rs 2.47 crore
4262,Nifty50 in a no-trade zone due to holiday-truncated week: Sandeep Wagle,"{""Nifty50"": ""negative""}",11,{'Nifty50': 'negative'},,[],0,Nifty50 in a no-trade zone due to holiday-truncated week: Sandeep Wagle,{'Nifty50': 'negative'},1,negative,nifty50 in a no-trade zone due to holiday-truncated week: sandeep wagle
4526,Waiting to see initiatives from the government for PSU banks: Pramod Gubbi,"{""PSU banks"": ""neutral""}",12,{'PSU banks': 'neutral'},,[],0,Waiting to see initiatives from the government for PSU banks: Pramod Gubbi,{'PSU banks': 'neutral'},1,neutral,waiting to see initiatives from the government for psu banks: pramod gubbi
4528,"With investors steering clear, infra bonds by banks may see early death","{""banks"": ""negative""}",12,{'banks': 'negative'},,[],0,"With investors steering clear, infra bonds by banks may see early death",{'banks': 'negative'},1,negative,"with investors steering clear, infra bonds by banks may see early death"
5036,"Gold holds below 2-week high on robust dollar, US economy","{""Gold"": ""positive"", ""dollar"": ""positive""}",10,"{'Gold': 'positive', 'dollar': 'positive'}",,[],0,"Gold holds below 2-week high on robust dollar, US economy","{'Gold': 'positive', 'dollar': 'positive'}",2,positive,"gold holds below 2-week high on robust dollar, us economy"
5085,"Gloomy French data hits European stocks, Iraq keeps oil high","{""oil"": ""positive"", ""European stocks"": ""negative""}",10,"{'oil': 'positive', 'European stocks': 'negative'}",,[],0,"Gloomy French data hits European stocks, Iraq keeps oil high","{'oil': 'positive', 'European stocks': 'negative'}",2,negative+positive,"gloomy french data hits european stocks, iraq keeps oil high"
5107,"Overweight on PSU banks, like private banks more: S Naren","{""PSU banks"": ""positive"", ""private banks"": ""positive""}",10,"{'PSU banks': 'positive', 'private banks': 'positive'}",,[],0,"Overweight on PSU banks, like private banks more: S Naren","{'PSU banks': 'positive', 'private banks': 'positive'}",2,positive,"overweight on psu banks, like private banks more: s naren"
5108,"Overweight on PSU banks, like private banks more: S Naren","{""PSU banks"": ""positive"", ""private banks"": ""positive""}",10,"{'PSU banks': 'positive', 'private banks': 'positive'}",,[],0,"Overweight on PSU banks, like private banks more: S Naren","{'PSU banks': 'positive', 'private banks': 'positive'}",2,positive,"overweight on psu banks, like private banks more: s naren"
5255,"Gold extends gains on festive buying, weak rupee","{""Gold"": ""positive"", ""rupee"": ""negative""}",8,"{'Gold': 'positive', 'rupee': 'negative'}",,[],0,"Gold extends gains on festive buying, weak rupee","{'Gold': 'positive', 'rupee': 'negative'}",2,negative+positive,"gold extends gains on festive buying, weak rupee"
5256,"Gold extends gains on festive buying, weak rupee","{""Gold"": ""positive"", ""rupee"": ""negative""}",8,"{'Gold': 'positive', 'rupee': 'negative'}",,[],0,"Gold extends gains on festive buying, weak rupee","{'Gold': 'positive', 'rupee': 'negative'}",2,negative+positive,"gold extends gains on festive buying, weak rupee"
5293,"Forex, stocks rebound as Ukraine concerns less acute","{""Forex"": ""positive"", ""stocks"": ""positive""}",8,"{'Forex': 'positive', 'stocks': 'positive'}",,[],0,"Forex, stocks rebound as Ukraine concerns less acute","{'Forex': 'positive', 'stocks': 'positive'}",2,positive,"forex, stocks rebound as ukraine concerns less acute"
5426,Madras Stock Exchange to close doors?,"{""Madras Stock Exchange"": ""neutral""}",6,{'Madras Stock Exchange': 'neutral'},,[],0,Madras Stock Exchange to close doors?,{'Madras Stock Exchange': 'neutral'},1,neutral,madras stock exchange to close doors?
5430,Jyothy Laboratories rejigs top management,"{""Jyothy Laboratories"": ""neutral""}",5,{'Jyothy Laboratories': 'neutral'},,[],0,Jyothy Laboratories rejigs top management,{'Jyothy Laboratories': 'neutral'},1,neutral,jyothy laboratories rejigs top management
5512,Commexes extended trade hours hit a roadblock,"{""Commexes"": ""neutral""}",7,{'Commexes': 'neutral'},,[],0,Commexes extended trade hours hit a roadblock,{'Commexes': 'neutral'},1,neutral,commexes extended trade hours hit a roadblock
5524,Euronext names new head of post-trade business,"{""Euronext"": ""neutral""}",7,{'Euronext': 'neutral'},,[],0,Euronext names new head of post-trade business,{'Euronext': 'neutral'},1,neutral,euronext names new head of post-trade business
5555,Important support for EUR/USD lies at $1.3588/86,"{""EUR/USD"": ""neutral""}",7,{'EUR/USD': 'neutral'},,[],0,Important support for EUR/USD lies at $1.3588/86,{'EUR/USD': 'neutral'},1,neutral,important support for eur/usd lies at $1.3588/86
5613,Pulses prices end steady in tight movements,"{""Pulses"": ""neutral""}",7,{'Pulses': 'neutral'},,[],0,Pulses prices end steady in tight movements,{'Pulses': 'neutral'},1,neutral,pulses prices end steady in tight movements
5642,Several small caps trading at eye-popping valuations,"{""small caps"": ""neutral""}",7,{'small caps': 'neutral'},,[],0,Several small caps trading at eye-popping valuations,{'small caps': 'neutral'},1,neutral,several small caps trading at eye-popping valuations
5695,Asian shares flat as investors digest Greek deal,"{""Asian shares"": ""neutral""}",8,{'Asian shares': 'neutral'},,[],0,Asian shares flat as investors digest Greek deal,{'Asian shares': 'neutral'},1,neutral,asian shares flat as investors digest greek deal
5741,Dry fruit prices rule steady in tight movements,"{""Dry fruit"": ""neutral""}",8,{'Dry fruit': 'neutral'},,[],0,Dry fruit prices rule steady in tight movements,{'Dry fruit': 'neutral'},1,neutral,dry fruit prices rule steady in tight movements
5746,Emerging stocks set for second week in red,"{""Emerging stocks"": ""negative""}",8,{'Emerging stocks': 'negative'},,[],0,Emerging stocks set for second week in red,{'Emerging stocks': 'negative'},1,negative,emerging stocks set for second week in red
5764,Flat Nifty OI data hints at trend reversal,"{""Nifty"": ""neutral""}",8,{'Nifty': 'neutral'},,[],0,Flat Nifty OI data hints at trend reversal,{'Nifty': 'neutral'},1,neutral,flat nifty oi data hints at trend reversal
5924,Stock-specific action likely; all eyes on Bank Nifty,"{""Bank Nifty"": ""neutral""}",8,{'Bank Nifty': 'neutral'},,[],0,Stock-specific action likely; all eyes on Bank Nifty,{'Bank Nifty': 'neutral'},1,neutral,stock-specific action likely; all eyes on bank nifty
6076,Kenneth Andrade exits IDFC Mutual Fund leaving investors jittery,"{""IDFC Mutual Fund"": ""neutral""}",9,{'IDFC Mutual Fund': 'neutral'},,[],0,Kenneth Andrade exits IDFC Mutual Fund leaving investors jittery,{'IDFC Mutual Fund': 'neutral'},1,neutral,kenneth andrade exits idfc mutual fund leaving investors jittery
6084,"March series may expire at 6,600-6,650: Vishal Kshatriya, Edelweiss","{""Edelweiss"": ""neutral""}",9,{'Edelweiss': 'neutral'},,[],0,"March series may expire at 6,600-6,650: Vishal Kshatriya, Edelweiss",{'Edelweiss': 'neutral'},1,neutral,"march series may expire at 6,600-6,650: vishal kshatriya, edelweiss"
6139,"PSUs languishing in valuations, but offer pockets of hope","{""PSUs"": ""neutral""}",9,{'PSUs': 'neutral'},,[],0,"PSUs languishing in valuations, but offer pockets of hope",{'PSUs': 'neutral'},1,neutral,"psus languishing in valuations, but offer pockets of hope"
6186,State government companies lure PFs with high-return bond issues,"{""State government companies"": ""neutral""}",9,{'State government companies': 'neutral'},,[],0,State government companies lure PFs with high-return bond issues,{'State government companies': 'neutral'},1,neutral,state government companies lure pfs with high-return bond issues
6224,Yes Bank wrangle may be solved out of court,"{""Yes Bank"": ""neutral""}",9,{'Yes Bank': 'neutral'},,[],0,Yes Bank wrangle may be solved out of court,{'Yes Bank': 'neutral'},1,neutral,yes bank wrangle may be solved out of court
6246,Carl Icahn says his firm sold remainder of Netflix stake,"{""Netflix"": ""neutral""}",10,{'Netflix': 'neutral'},,[],0,Carl Icahn says his firm sold remainder of Netflix stake,{'Netflix': 'neutral'},1,neutral,carl icahn says his firm sold remainder of netflix stake
6252,Cisco rejigs India operations; appoints Dinesh Malkani as President Sales,"{""Cisco"": ""neutral""}",10,{'Cisco': 'neutral'},,[],0,Cisco rejigs India operations; appoints Dinesh Malkani as President Sales,{'Cisco': 'neutral'},1,neutral,cisco rejigs india operations; appoints dinesh malkani as president sales
6329,LSE partners with Chinese banks to promote London renminbi trading,"{""LSE"": ""neutral"", ""Chinese banks"": ""neutral""}",10,"{'LSE': 'neutral', 'Chinese banks': 'neutral'}",,[],0,LSE partners with Chinese banks to promote London renminbi trading,"{'LSE': 'neutral', 'Chinese banks': 'neutral'}",2,neutral,lse partners with chinese banks to promote london renminbi trading
6361,Nifty's consolidated P/E makes Indian markets cheaper than its peers,"{""Nifty"": ""neutral""}",10,{'Nifty': 'neutral'},,[],0,Nifty's consolidated P/E makes Indian markets cheaper than its peers,{'Nifty': 'neutral'},1,neutral,nifty's consolidated p/e makes indian markets cheaper than its peers
6363,"Nitin Fire Protection Industries expects Rs 1,000-crore turnover this fiscal","{""Nitin Fire Protection Industries"": ""neutral""}",10,{'Nitin Fire Protection Industries': 'neutral'},,[],0,"Nitin Fire Protection Industries expects Rs 1,000-crore turnover this fiscal",{'Nitin Fire Protection Industries': 'neutral'},1,neutral,"nitin fire protection industries expects rs 1,000-crore turnover this fiscal"
6405,Shriram City to launch Rs 200-crore NCD on April 16,"{""Shriram City"": ""neutral""}",10,{'Shriram City': 'neutral'},,[],0,Shriram City to launch Rs 200-crore NCD on April 16,{'Shriram City': 'neutral'},1,neutral,shriram city to launch rs 200-crore ncd on april 16
6475,Claris to buy-back 14.49 per cent stake for Rs 231.25 crore,"{""Claris"": ""neutral""}",11,{'Claris': 'neutral'},,[],0,Claris to buy-back 14.49 per cent stake for Rs 231.25 crore,{'Claris': 'neutral'},1,neutral,claris to buy-back 14.49 per cent stake for rs 231.25 crore
6476,Claris to buy-back 14.49 per cent stake for Rs 231.25 crore,"{""Claris"": ""neutral""}",11,{'Claris': 'neutral'},,[],0,Claris to buy-back 14.49 per cent stake for Rs 231.25 crore,{'Claris': 'neutral'},1,neutral,claris to buy-back 14.49 per cent stake for rs 231.25 crore
6505,"Franklin Templeton buys record Rs 16,000-crore government securities in a day","{""Franklin Templeton"": ""neutral""}",11,{'Franklin Templeton': 'neutral'},,[],0,"Franklin Templeton buys record Rs 16,000-crore government securities in a day",{'Franklin Templeton': 'neutral'},1,neutral,"franklin templeton buys record rs 16,000-crore government securities in a day"
6564,Nokia India appoints V Sembian as new head of Chennai factory,"{""Nokia India"": ""neutral""}",11,{'Nokia India': 'neutral'},,[],0,Nokia India appoints V Sembian as new head of Chennai factory,{'Nokia India': 'neutral'},1,neutral,nokia india appoints v sembian as new head of chennai factory
6576,"Post RBI policy: Bonds draw comfort from future guidance, rupee steady","{""RBI"": ""neutral"", ""Bonds"": ""neutral"", ""rupee"": ""neutral""}",11,"{'RBI': 'neutral', 'Bonds': 'neutral', 'rupee': 'neutral'}",,[],0,"Post RBI policy: Bonds draw comfort from future guidance, rupee steady","{'RBI': 'neutral', 'Bonds': 'neutral', 'rupee': 'neutral'}",3,neutral,"post rbi policy: bonds draw comfort from future guidance, rupee steady"
6681,Forward Markets Commission asks bourses not to charge audit fee from members,"{""Forward Markets Commission"": ""neutral""}",12,{'Forward Markets Commission': 'neutral'},,[],0,Forward Markets Commission asks bourses not to charge audit fee from members,{'Forward Markets Commission': 'neutral'},1,neutral,forward markets commission asks bourses not to charge audit fee from members
6751,Symantec appoints Adrian Jones as Asia Pacific and Japan senior vice president,"{""Symantec"": ""neutral""}",12,{'Symantec': 'neutral'},,[],0,Symantec appoints Adrian Jones as Asia Pacific and Japan senior vice president,{'Symantec': 'neutral'},1,neutral,symantec appoints adrian jones as asia pacific and japan senior vice president
6764,"With investors steering clear, infra bonds by banks may see early death","{""infra bonds"": ""neutral""}",12,{'infra bonds': 'neutral'},,[],0,"With investors steering clear, infra bonds by banks may see early death",{'infra bonds': 'neutral'},1,neutral,"with investors steering clear, infra bonds by banks may see early death"
6794,H Kumar takes over as Managing Director of Mangalore Refinery and Petrochemicals Ltd,"{""Mangalore Refinery and Petrochemicals Ltd"": ""neutral""}",13,{'Mangalore Refinery and Petrochemicals Ltd': 'neutral'},,[],0,H Kumar takes over as Managing Director of Mangalore Refinery and Petrochemicals Ltd,{'Mangalore Refinery and Petrochemicals Ltd': 'neutral'},1,neutral,h kumar takes over as managing director of mangalore refinery and petrochemicals ltd
6810,Max Life posts PAT at Rs 326 cr for Apr-Dec period in FY14,"{""Max Life"": ""neutral""}",13,{'Max Life': 'neutral'},,[],0,Max Life posts PAT at Rs 326 cr for Apr-Dec period in FY14,{'Max Life': 'neutral'},1,neutral,max life posts pat at rs 326 cr for apr-dec period in fy14
6879,"Outlook for auto stocks a mixed bag at the moment: Rajat Rajgarhia, Motilal Oswal Securities","{""Motilal Oswal Securities"": ""neutral""}",15,{'Motilal Oswal Securities': 'neutral'},,[],0,"Outlook for auto stocks a mixed bag at the moment: Rajat Rajgarhia, Motilal Oswal Securities",{'Motilal Oswal Securities': 'neutral'},1,neutral,"outlook for auto stocks a mixed bag at the moment: rajat rajgarhia, motilal oswal securities"
7017,Caustic soda rises on tight supply,"{""Caustic soda"": ""positive""}",6,{'Caustic soda': 'positive'},,[],0,Caustic soda rises on tight supply,{'Caustic soda': 'positive'},1,positive,caustic soda rises on tight supply
7018,Caustic soda rises on tight supply,"{""Caustic soda"": ""positive""}",6,{'Caustic soda': 'positive'},,[],0,Caustic soda rises on tight supply,{'Caustic soda': 'positive'},1,positive,caustic soda rises on tight supply
7130,Mid-cap stocks attract fund managers this season,"{""Mid-cap stocks"": ""positive""}",7,{'Mid-cap stocks': 'positive'},,[],0,Mid-cap stocks attract fund managers this season,{'Mid-cap stocks': 'positive'},1,positive,mid-cap stocks attract fund managers this season
7244,Deepak Fertilisers bets on chemicals to deliver growth,"{""Deepak Fertilisers"": ""positive""}",8,{'Deepak Fertilisers': 'positive'},,[],0,Deepak Fertilisers bets on chemicals to deliver growth,{'Deepak Fertilisers': 'positive'},1,positive,deepak fertilisers bets on chemicals to deliver growth
7262,Flight to safety keeps gold near one-month high,"{""gold"": ""positive""}",8,{'gold': 'positive'},,[],0,Flight to safety keeps gold near one-month high,{'gold': 'positive'},1,positive,flight to safety keeps gold near one-month high
7281,Huge activity in Nifty December series surprises market,"{""Nifty"": ""positive"", ""market"": ""neutral""}",8,"{'Nifty': 'positive', 'market': 'neutral'}",,[],0,Huge activity in Nifty December series surprises market,"{'Nifty': 'positive', 'market': 'neutral'}",2,neutral+positive,huge activity in nifty december series surprises market
7543,Its time to take banking sector funds into account,"{""banking sector"": ""positive""}",9,{'banking sector': 'positive'},,[],0,Its time to take banking sector funds into account,{'banking sector': 'positive'},1,positive,its time to take banking sector funds into account
7628,Rupiah scales two-month high after Jokowi wins presidential election,"{""Rupiah"": ""positive""}",9,{'Rupiah': 'positive'},,[],0,Rupiah scales two-month high after Jokowi wins presidential election,{'Rupiah': 'positive'},1,positive,rupiah scales two-month high after jokowi wins presidential election
7689,US stocks: S&P hits record; focus shifts to payrolls,"{""S&P"": ""positive""}",9,{'S&P': 'positive'},,[],0,US stocks: S&P hits record; focus shifts to payrolls,{'S&P': 'positive'},1,positive,us stocks: s&p hits record; focus shifts to payrolls
8152,"Midcaps important part of our portfolio: Kunj Bansal, Centrum Wealth Management","{""Centrum Wealth Management"": ""neutral""}",11,{'Centrum Wealth Management': 'neutral'},,[],0,"Midcaps important part of our portfolio: Kunj Bansal, Centrum Wealth Management",{'Centrum Wealth Management': 'neutral'},1,neutral,"midcaps important part of our portfolio: kunj bansal, centrum wealth management"
8221,Sobha Developers: A realty counter that may give over 45% returns,"{""Sobha Developers"": ""positive""}",11,{'Sobha Developers': 'positive'},,[],0,Sobha Developers: A realty counter that may give over 45% returns,{'Sobha Developers': 'positive'},1,positive,sobha developers: a realty counter that may give over 45% returns
8774,NCDEX hikes transaction charges on agri-commodities,"{""agri-commodities"": ""negative"", ""NCDEX"": ""neutral""}",6,"{'agri-commodities': 'negative', 'NCDEX': 'neutral'}",,[],0,NCDEX hikes transaction charges on agri-commodities,"{'agri-commodities': 'negative', 'NCDEX': 'neutral'}",2,negative+neutral,ncdex hikes transaction charges on agri-commodities
8913,Securities Appellate Tribunal disposes of Sahara appeal,"{""Sahara"": ""negative"", ""Securities Appellate Tribunal"": ""neutral""}",7,"{'Sahara': 'negative', 'Securities Appellate Tribunal': 'neutral'}",,[],0,Securities Appellate Tribunal disposes of Sahara appeal,"{'Sahara': 'negative', 'Securities Appellate Tribunal': 'neutral'}",2,negative+neutral,securities appellate tribunal disposes of sahara appeal
8950,Asian shares flat as investors digest Greek deal,"{""Asian shares"": ""negative""}",8,{'Asian shares': 'negative'},,[],0,Asian shares flat as investors digest Greek deal,{'Asian shares': 'negative'},1,negative,asian shares flat as investors digest greek deal
8991,Crude oil futures down on weak Asian cues,"{""Crude oil"": ""negative""}",8,{'Crude oil': 'negative'},,[],0,Crude oil futures down on weak Asian cues,{'Crude oil': 'negative'},1,negative,crude oil futures down on weak asian cues
9004,Emerging stocks set for second week in red,"{""Emerging stocks"": ""negative""}",8,{'Emerging stocks': 'negative'},,[],0,Emerging stocks set for second week in red,{'Emerging stocks': 'negative'},1,negative,emerging stocks set for second week in red
9016,Flat Nifty OI data hints at trend reversal,"{""Nifty"": ""negative""}",8,{'Nifty': 'negative'},,[],0,Flat Nifty OI data hints at trend reversal,{'Nifty': 'negative'},1,negative,flat nifty oi data hints at trend reversal
9256,Kenneth Andrade exits IDFC Mutual Fund leaving investors jittery,"{""IDFC Mutual Fund"": ""negative""}",9,{'IDFC Mutual Fund': 'negative'},,[],0,Kenneth Andrade exits IDFC Mutual Fund leaving investors jittery,{'IDFC Mutual Fund': 'negative'},1,negative,kenneth andrade exits idfc mutual fund leaving investors jittery
9400,Carl Icahn says his firm sold remainder of Netflix stake,"{""Netflix"": ""negative""}",10,{'Netflix': 'negative'},,[],0,Carl Icahn says his firm sold remainder of Netflix stake,{'Netflix': 'negative'},1,negative,carl icahn says his firm sold remainder of netflix stake
9428,Empee Distilleries reports Q3 net loss at Rs 2.47 crore,"{""Empee Distilleries"": ""negative""}",10,{'Empee Distilleries': 'negative'},,[],0,Empee Distilleries reports Q3 net loss at Rs 2.47 crore,{'Empee Distilleries': 'negative'},1,negative,empee distilleries reports q3 net loss at rs 2.47 crore
10407,"Gold holds below 2-week high on robust dollar, US economy","{""Gold"": ""positive"", ""dollar"": ""positive""}",10,"{'Gold': 'positive', 'dollar': 'positive'}",,[],0,"Gold holds below 2-week high on robust dollar, US economy","{'Gold': 'positive', 'dollar': 'positive'}",2,positive,"gold holds below 2-week high on robust dollar, us economy"
10455,"Gloomy French data hits European stocks, Iraq keeps oil high","{""oil"": ""positive"", ""European stocks"": ""negative""}",10,"{'oil': 'positive', 'European stocks': 'negative'}",,[],0,"Gloomy French data hits European stocks, Iraq keeps oil high","{'oil': 'positive', 'European stocks': 'negative'}",2,negative+positive,"gloomy french data hits european stocks, iraq keeps oil high"
10680,"Forex, stocks rebound as Ukraine concerns less acute","{""Forex"": ""positive"", ""stocks"": ""positive""}",8,"{'Forex': 'positive', 'stocks': 'positive'}",,[],0,"Forex, stocks rebound as Ukraine concerns less acute","{'Forex': 'positive', 'stocks': 'positive'}",2,positive,"forex, stocks rebound as ukraine concerns less acute"
